"","title","author","nwords","avg_word_len","var_word_len","distinct_words","avg_word_len_1k","distinct_words_1k","avg_word_len_10k","distinct_words_10k","nsentences","avg_wps","var_wps","Rank","Author","Year"
"1","Alice's Adventures in Wonderland","Carroll, Lewis",26694,4.05993856297295,3.70764238936213,2634,4.101,445,4.0632,1648,1620,16.929012345679,330.246347387124,40,"Lewis Carroll",1865
"2","Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",75175,4.42204190222813,6.17677490313151,7050,4.333,471,4.4338,2511,3356,22.4070321811681,202.464975869009,9,"Mary Shelley",1818
"3","Persuasion","Austen, Jane",83658,4.36909799421454,5.59296881473927,5858,4.24,437,4.3804,1994,3652,22.8636363636364,437.397998057817,20,"Jane Austen",1817
"4","Tess of the d'Urbervilles: A Pure Woman","Hardy, Thomas",151183,4.3061786047373,5.16934753188419,12134,4.373,498,4.2978,2554,8124,18.4417774495322,227.953152866383,51,"Thomas Hardy",1891
"5","The Mayor of Casterbridge","Hardy, Thomas",117665,4.33481494072154,5.34431627851624,10246,4.177,465,4.3603,2461,6830,16.9134699853587,183.148024712454,74,"Thomas Hardy",1886
"6","Middlemarch","Eliot, George",320374,4.37402223651108,5.66694146343664,15675,4.324,458,4.3781,2378,17460,18.3512027491409,262.015832793532,1,"George Eliot",1874
"7","Jude the Obscure","Hardy, Thomas",146488,4.22312407842281,5.18394253071434,10840,4.271,473,4.2244,2348,9475,15.3326649076517,186.239966245628,23,"Thomas Hardy",1895
"8","Emma","Austen, Jane",160996,4.26126736067977,5.38991466199401,7356,4.27,440,4.2827,1922,9128,17.3106923751096,302.546606379335,19,"Jane Austen",1815
"9","Sense and Sensibility","Austen, Jane",119972,4.38535658320275,5.80772181981788,6425,4.242,427,4.3826,1971,5486,21.8122493620124,386.22982987108,66,"Jane Austen",1811
"10","Sons and Lovers","Lawrence, D. H. (David Herbert)",162197,4.12734514201866,4.05481445961432,9581,4.273,482,4.1092,2197,16881,9.51797879272555,53.6195967675597,60,"DH Lawrence",1913
"11","Heart of Darkness","Conrad, Joseph",38765,4.22687991745131,5.26719613884057,5463,4.196,480,4.2527,2468,2501,15.1667333066773,164.899788884446,21,"Joseph Conrad",1899
"12","The Wind in the Willows","Grahame, Kenneth",59675,4.21647255969837,4.47209182347113,6560,4.209,476,4.2119,2397,3254,18.1481253841426,283.714910410342,33,"Kenneth Grahame",1908
"13","Of Human Bondage","Maugham, W. Somerset (William Somerset)",260957,4.21204259705622,4.75862151065502,12315,4.192,464,4.2156,2245,17271,15.0761970933935,171.46240443689,77,"W Somerset Maugham",1915
"14","The Fortunes and Misfortunes of the Famous Moll Flanders","Defoe, Daniel",138389,3.92049946166242,4.59406404512826,5920,3.919,388,3.9207,1743,3330,41.7039039039039,1056.3604834032,30,"Daniel Defoe",1722
"15","The Life and Adventures of Robinson Crusoe","Defoe, Daniel",121521,3.95857506110055,4.40837283457522,6162,3.966,417,3.9384,1791,2376,51.2449494949495,1384.77281658692,27,"Daniel Defoe",1719
"16","The Woman in White","Collins, Wilkie",248371,4.2585889657005,5.56248284852808,10268,4.302,480,4.2735,2253,14571,16.8421522201633,170.45469801691,90,"Wilkie Collins",1859
"17","Vanity Fair","Thackeray, William Makepeace",306936,4.38116415148435,5.072544553164,16298,4.227,484,4.337,2576,14845,20.4392051195689,353.392777056077,10,"William Thackeray",1848
"18","David Copperfield","Dickens, Charles",359109,4.13334391507871,5.22868281025891,14346,4.03,446,4.144,2245,22598,15.7832551553235,229.712987730706,8,"Charles Dickens",1850
"19","Wuthering Heights","Brontë, Emily",117111,4.27561031841586,5.37427312571506,9486,4.201,464,4.2204,2471,7215,16.0820512820513,192.167372559055,7,"Emily Bronte",1847
"20","Dombey and Son","Dickens, Charles",359055,4.30807257940984,5.13012402487811,15400,4.27,491,4.2696,2381,17960,19.8017817371938,366.43946450161,41,"Charles Dickens",1848
"21","Gulliver's Travels into Several Remote Nations of the World","Swift, Jonathan",104651,4.36444945581026,5.73330050411273,8276,4.399,500,4.4069,2481,2860,36.6520979020979,705.061503117379,55,"Jonathan Swift",1726
"22","Bleak House","Dickens, Charles",357741,4.19422151780199,5.28880833767988,15312,4.095,457,4.224,2364,24330,14.578421701603,211.038385112144,6,"Charles Dickens",1853
"23","The Life and Opinions of Tristram Shandy, Gentleman","Sterne, Laurence",188668,4.22267157122564,5.15868882539734,14360,4.346,480,4.2585,2577,4077,44.3532008830022,2745.85362873613,47,"Laurence Sterne",1759
"24","Jane Eyre: An Autobiography","Brontë, Charlotte",188421,4.19194251171579,5.28138311814716,12890,3.962,442,4.1787,2574,10649,17.4752558925721,258.823040000722,5,"Charlotte Bronte",1847
"25","Pride and Prejudice","Austen, Jane",122204,4.40258093024778,5.9124017084245,6538,4.417,434,4.4376,1979,7066,17.2417209170676,212.518774334557,11,"Jane Austen",1813
"26","Great Expectations","Dickens, Charles",186584,4.09537259357716,4.98888883069355,10983,4.087,451,4.0871,2218,10637,17.3549873084516,239.499395254164,4,"Charles Dickens",1861
"27","New Grub Street","Gissing, George",187584,4.25779917263733,5.32372384390074,10029,4.309,478,4.2718,2213,13474,13.8247736381179,107.258315932576,52,"George Gissing",1891
"28","Nostromo: A Tale of the Seaboard","Conrad, Joseph",171907,4.44357123328311,5.62107990848757,12385,4.656,539,4.4491,2695,10247,16.655313750366,202.132985376371,69,"Joseph Conrad",1904
"29","The Private Memoirs and Confessions of a Justified Sinner","Hogg, James",84369,4.2136211167609,5.4026752632825,8101,4.192,459,4.2173,2461,3392,24.7850825471698,385.427403472983,94,"James Hogg",1824
"30","Barchester Towers","Trollope, Anthony",198811,4.26485456036135,5.16546359976668,10995,4.34,463,4.2425,2218,9875,20.0473924050633,193.229068295972,83,"Anthony Trollope",1857
"31","A Room with a View","Forster, E. M. (Edward Morgan)",67488,4.27877548601233,4.95557837814933,6858,4.459,502,4.2473,2313,6341,10.5352468064974,73.3352322300864,32,"EM Forster",1908
"32","The Good Soldier","Ford, Ford Madox",76215,4.23466509217346,5.03773604359406,6877,4.268,444,4.2147,2134,4087,18.4286762906778,143.783396754462,13,"Ford Madox Ford",1915
"33","Howards End","Forster, E. M. (Edward Morgan)",110208,4.28230255516841,4.83422108308547,9221,4.163,454,4.2746,2407,9803,11.1714781189432,85.7699189228786,17,"EM Forster",1910
"34","Women in Love","Lawrence, D. H. (David Herbert)",182847,4.31063129282952,4.97056957127785,11280,4.333,488,4.259,2281,16044,11.2688855646971,82.9609192591097,75,"DH Lawrence",1920
"35","The Forsyte Saga - Complete","Galsworthy, John",323402,4.27405520064811,4.64100138084471,15752,4.271,496,4.2809,2426,22450,14.177728285078,164.065342070584,91,"John Galsworthy",1922
"36","The Way We Live Now","Trollope, Anthony",355305,4.15532289160017,4.70914820993082,11364,4.132,435,4.1757,1976,24803,14.2715397330968,127.107659862011,64,"Anthony Trollope",1875
"37","The Old Wives' Tale","Bennett, Arnold",218730,4.46662094820098,5.65318178907605,13716,4.467,482,4.4563,2641,17760,12.2226351351351,111.65154010224,87,"Arnold Bennett",1908
"38","History of Tom Jones, a Foundling","Fielding, Henry",352684,4.35324256274739,5.53095834447717,12991,4.427,468,4.3375,2221,11503,30.7752760149526,580.706493522748,22,"Henry Fielding",1749
"39","Daniel Deronda","Eliot, George",312984,4.38045395291772,5.68205003179842,15254,4.467,488,4.4313,2486,15281,20.4668542634644,320.000488330134,70,"George Eliot",1876
"40","Villette","Brontë, Charlotte",196515,4.33676818563468,5.55950558980376,14889,4.274,520,4.3365,2858,10832,17.875,261.058881913027,28,"Charlotte Bronte",1853
