Rank,Title,Author,Year
27,The Life and Adventures of Robinson Crusoe,Daniel Defoe,1719
30,The Fortunes and Misfortunes of the Famous Moll Flanders,Daniel Defoe,1722
55,Gulliver's Travels into Several Remote Nations of the World,Jonathan Swift,1726
14,Clarissa Harlowe; or the history of a young lady Ñ Volume 1,Samuel Richardson,1748
22,"History of Tom Jones, a Foundling",Henry Fielding,1749
47,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1759
66,Sense and Sensibility,Jane Austen,1811
11,Pride and Prejudice,Jane Austen,1813
19,Emma,Jane Austen,1815
20,Persuasion,Jane Austen,1817
9,"Frankenstein; Or, The Modern Prometheus",Mary Shelley,1818
94,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1824
5,Jane Eyre: An Autobiography,Charlotte Bronte,1847
7,Wuthering Heights,Emily Bronte,1847
10,Vanity Fair,William Thackeray,1848
41,Dombey and Son,Charles Dickens,1848
8,David Copperfield,Charles Dickens,1850
6,Bleak House,Charles Dickens,1853
28,Villette,Charlotte Bronte,1853
83,Barchester Towers,Anthony Trollope,1857
90,The Woman in White,Wilkie Collins,1859
4,Great Expectations,Charles Dickens,1861
40,Alice's Adventures in Wonderland,Lewis Carroll,1865
1,Middlemarch,George Eliot,1874
64,The Way We Live Now,Anthony Trollope,1875
70,Daniel Deronda,George Eliot,1876
74,The Mayor of Casterbridge,Thomas Hardy,1886
51,Tess of the d'Urbervilles: A Pure Woman,Thomas Hardy,1891
52,New Grub Street,George Gissing,1891
23,Jude the Obscure,Thomas Hardy,1895
21,Heart of Darkness,Joseph Conrad,1899
69,Nostromo: A Tale of the Seaboard,Joseph Conrad,1904
32,A Room with a View,EM Forster,1908
33,The Wind in the Willows,Kenneth Grahame,1908
87,The Old Wives' Tale,Arnold Bennett,1908
17,Howards End,EM Forster,1910
60,Sons and Lovers,DH Lawrence,1913
13,The Good Soldier,Ford Madox Ford,1915
77,Of Human Bondage,W Somerset Maugham,1915
75,Women in Love,DH Lawrence,1920
91,The Forsyte Saga - Complete,John Galsworthy,1922
50,A Passage to India,EM Forster,1924
3,Mrs. Dalloway,Virginia Woolf,1925
2,To the Lighthouse,Virginia Woolf,1927
37,Decline and Fall,Evelyn Waugh,1928
65,Orlando,Virginia Woolf,1928
16,The Waves,Virginia Woolf,1931
92,Cold Comfort Farm,Stella Gibbons,1932
42,Brighton Rock,Graham Greene,1938
84,Scoop,Evelyn Waugh,1938
88,The Death of the Heart,Elizabeth Bowen,1938
100,The Code of the Woosters,PG Wodehouse,1938
89,The Horse's Mouth,Joyce Cary,1944
58,Loving,Henry Green,1945
62,Animal Farm,George Orwell,1945
98,Under the Volcano,Malcolm Lowry,1947
72,The Heart of the Matter,Graham Greene,1948
12,Nineteen Eighty-Four,George Orwell,1949
31,The End of the Affair,Graham Greene,1951
80,Excellent Women,Barbara Pym,1952
26,The Lord of the Rings,JRR Tolkien,1954
48,Lucky Jim,Kingsley Amis,1954
93,Lord of the Flies,William Golding,1954
86,A Legacy,Sybille Bedford,1956
63,The Prime of Miss Jean Brodie,Muriel Spark,1961
78,A House for Mr Biswas,VS Naipaul,1961
24,The Golden Notebook,Doris Lessing,1962
68,A Clockwork Orange,Anthony Burgess,1962
53,Wide Sargasso Sea,Jean Rhys,1966
81,The Jewel in the Crown,Paul Scott,1966
67,Crash,JG Ballard,1973
96,Memoirs of a Survivor,Doris Lessing,1974
61,"The Sea, The Sea",Iris Murdoch,1978
46,Midnight's Children,Salman Rushdie,1981
56,Oranges Are Not the Only Fruit,Jeanette Winterson,1985
38,The Passion,Jeanette Winterson,1987
43,The Swimming Pool Library,Alan Hollinghurst,1988
18,Remains of the Day,Kazuo Ishiguro,1989
49,Possession,AS Byatt,1990
95,The Buddha of Suburbia,Hanif Kureishi,1990
73,The Blue Flower,Penelope Fitzgerald,1995
25,White Teeth,Zadie Smith,2000
15,Atonement,Ian McEwan,2001
29,Brick Lane,Monica Ali,2003
59,The Line of Beauty,Alan Hollinghurst,2004
71,Old Filth,Jane Gardam,2004
76,Small Island,Andrea Levy,2004
34,Never Let Me Go,Kazuo Ishiguro,2005
35,Remainder,Tom McCarthy,2005
44,Wolf Hall,Hilary Mantel,2009
45,The Little Stranger,Sarah Waters,2009
39,The Sense of an Ending,Julian Barnes,2011
99,There but for the,Ali Smith,2011
54,NW,Zadie Smith,2012
57,Parade's End,Ford Madox Ford,1924-1928
97,The Chronicles of Narnia,CS Lewis,1949-1954
36,A Dance to the Music of Time,Anthony Powell,1951-1975
85,Regeneration Trilogy,Pat Barker,1991-1995
82,The Patrick Melrose Novels,Edward St Aubyn,1992-2012
79,His Dark Materials,Philip Pullman,1995-200
